PROFILE_ID,LATITUDE,LONGITUDE,TIME,PRES,TEMP,PSAL,SA,CT,SIGMA0,TEMP_GRADIENT,SA_GRADIENT,SIGMA0_GRADIENT
1,16.832,89.402,2020-01-01 14:03:00+00:00,0.0,25.641,30.165,30.307558711710193,25.827022378960862,19.502400912901862,,,
1,16.832,89.402,2020-01-01 14:03:00+00:00,10.0,25.694166666666668,30.271333333333335,30.41440817867166,25.874359548662596,19.566981508172262,0.005316666666666947,0.010684946696146724,0.00645805952703995
1,16.832,89.402,2020-01-01 14:03:00+00:00,20.0,26.202272727272728,31.06118181818182,31.20800487559796,26.353474891943815,20.006493146356092,0.050810606060606035,0.07935966969263006,0.043951163818383064
1,16.832,89.402,2020-01-01 14:03:00+00:00,30.0,27.068333333333335,31.813222222222223,31.9636208208773,27.19300726535614,20.30206171814973,0.08660606060606071,0.0755615945279338,0.02955685717936376
1,16.832,89.402,2020-01-01 14:03:00+00:00,40.0,27.9985,32.483000000000004,32.63662741687376,28.098678012095522,20.508088463785953,0.09301666666666648,0.06730065959964585,0.020602674563622258
1,16.832,89.402,2020-01-01 14:03:00+00:00,50.0,28.4125,32.899,33.0547760149258,28.495034442498824,20.68632367021121,0.041400000000000145,0.041814859805204205,0.017823520642525636
1,16.832,89.402,2020-01-01 14:03:00+00:00,60.0,28.47118181818182,33.28390909090909,33.44170897174933,28.53551770141707,20.956892625256728,0.0058681818181817395,0.03869329568235287,0.027056895504551905
1,16.832,89.402,2020-01-01 14:03:00+00:00,70.0,28.108999999999998,33.6706,33.83043686171167,28.153567123019815,21.366769814674853,-0.03621818181818206,0.03887278899623396,0.040987718941812544
1,16.832,89.402,2020-01-01 14:03:00+00:00,80.0,27.216,34.068000000000005,34.22996529895342,27.239297285152475,21.955051314719185,-0.08929999999999971,0.03995284372417487,0.05882815000443316
1,16.832,89.402,2020-01-01 14:03:00+00:00,90.0,25.9834,34.4308,34.594789028647156,25.987145973828035,22.618212110510626,-0.12326000000000015,0.036482372969373955,0.06631607957914412
1,16.832,89.402,2020-01-01 14:03:00+00:00,100.0,24.487444444444446,34.608,34.77313345986429,24.47959477632221,23.209690502248236,-0.1495955555555554,0.017834443121713405,0.059147839173760985
1,16.832,89.402,2020-01-01 14:03:00+00:00,110.0,22.9045,34.7205,34.886431283300745,22.888383880449084,23.760075796163733,-0.15829444444444468,0.011329782343645433,0.05503852939154967
1,16.832,89.402,2020-01-01 14:03:00+00:00,120.0,21.194,34.7885,34.95501329748941,21.172004830356585,24.29167389222107,-0.17104999999999998,0.006858201418866372,0.0531598096057337
1,16.832,89.402,2020-01-01 14:03:00+00:00,130.0,19.7505,34.8245,34.991429619355905,19.724663174840167,24.705369796153263,-0.14435000000000003,0.0036416321866497015,0.04136959039321937
1,16.832,89.402,2020-01-01 14:03:00+00:00,140.0,18.76081818181818,34.845454545454544,35.01270881239548,18.732271391896614,24.976160511093667,-0.09896818181818183,0.002127919303957526,0.027079071494040364
1,16.832,89.402,2020-01-01 14:03:00+00:00,150.0,17.805444444444444,34.86866666666666,35.03625670148021,17.774456522901396,25.231838383026115,-0.0955373737373737,0.002354788908473182,0.02556778719324484
1,16.832,89.402,2020-01-01 14:03:00+00:00,160.0,16.803,34.8925,35.06038444378468,16.76990198135495,25.491036417799705,-0.10024444444444428,0.0024127742304465016,0.025919803477358984
1,16.832,89.402,2020-01-01 14:03:00+00:00,170.0,15.928,34.915499999999994,35.0836701205147,15.89309324449346,25.711704978055877,-0.0875,0.0023285676730019134,0.0220668560256172
1,16.832,89.402,2020-01-01 14:03:00+00:00,180.0,15.267818181818182,34.932545454545455,35.10096320806354,15.23137114790172,25.873484200888242,-0.06601818181818189,0.0017293087548843288,0.01617792228323651
1,16.832,89.402,2020-01-01 14:03:00+00:00,190.0,14.7,34.94244444444445,35.11106115317241,14.662288756998583,26.00580619714151,-0.05678181818181827,0.0010097945108867635,0.013232199625326757
1,16.832,89.402,2020-01-01 14:03:00+00:00,200.0,14.230277777777777,34.95494444444444,35.12377275664336,14.19127097515955,26.116400106119045,-0.04697222222222219,0.0012711603470954458,0.011059390897753475
1,16.832,89.402,2020-01-01 14:03:00+00:00,210.0,13.890833333333333,34.968833333333336,35.13782397676554,13.85044499776299,26.19885824115613,-0.03394444444444442,0.0014051220122176743,0.008245813503708632
1,16.832,89.402,2020-01-01 14:03:00+00:00,220.0,13.59216,34.97832,35.1474377366656,13.550512768680939,26.268431341197584,-0.029867333333333336,0.0009613759900062746,0.006957310004145257
1,16.832,89.402,2020-01-01 14:03:00+00:00,230.0,13.31096,34.98592,35.15515574768636,13.268133027288998,26.332145456812214,-0.028120000000000013,0.0007718011020756421,0.006371411561462992
1,16.832,89.402,2020-01-01 14:03:00+00:00,240.0,13.02752,34.99352,35.16287379401378,12.983573940242009,26.395547259081013,-0.02834399999999988,0.0007718046327418904,0.006340180226879965
1,16.832,89.402,2020-01-01 14:03:00+00:00,250.0,12.73512,35.00112,35.170591875647865,12.690128666826167,26.459941997404485,-0.029240000000000065,0.0007718081634088492,0.006439473832347176
1,16.832,89.402,2020-01-01 14:03:00+00:00,260.0,12.442720000000001,35.008720000000004,35.17830224560465,12.396743595723995,26.523499424435613,-0.029239999999999888,0.000771036995678287,0.00635574270311281
1,16.832,89.402,2020-01-01 14:03:00+00:00,270.0,12.21948,35.01324,35.18291578451529,12.172503012208017,26.57053893611169,-0.022324000000000056,0.00046135389106396476,0.004703951167607556
1,16.832,89.402,2020-01-01 14:03:00+00:00,280.0,12.02588,35.01644,35.186202942441355,11.977907977001534,26.61041559422847,-0.01936,0.0003287157926067152,0.003987665811678198
1,16.832,89.402,2020-01-01 14:03:00+00:00,290.0,11.844153846153846,35.019461538461535,35.18931078636141,11.795197756734634,26.647538709506307,-0.018172615384615474,0.00031078439200555864,0.0037123115277836404
1,16.832,89.402,2020-01-01 14:03:00+00:00,300.0,11.709923076923078,35.02176923076923,35.19170133277939,11.65991696607397,26.674884420702938,-0.013423076923076848,0.00023905464179776458,0.0027345711196630875
1,16.832,89.402,2020-01-01 14:03:00+00:00,310.0,11.575692307692307,35.02407692307692,35.194097881108526,11.52465773002158,26.7020519355915,-0.013423076923077027,0.00023965483291377154,0.002716751488856062
1,16.832,89.402,2020-01-01 14:03:00+00:00,320.0,11.458,35.0255,35.19560809635092,11.405934756639331,26.725293295890197,-0.011769230769230709,0.00015102152423907,0.0023241360298698055
1,16.832,89.402,2020-01-01 14:03:00+00:00,330.0,11.351333333333333,35.02633333333333,35.19652570896865,11.298238773384234,26.745907374978742,-0.010666666666666736,9.176126177337096e-05,0.0020614079088545623
1,16.832,89.402,2020-01-01 14:03:00+00:00,340.0,11.24808,35.02708,35.197356237426995,11.193964710433121,26.765712486761004,-0.010325333333333298,8.30528458344304e-05,0.001980511178226152
1,16.832,89.402,2020-01-01 14:03:00+00:00,350.0,11.158479999999999,35.02748,35.19783841660356,11.103328044655756,26.782654958326702,-0.008960000000000079,4.8217917656501184e-05,0.0016942471565698724
1,16.832,89.402,2020-01-01 14:03:00+00:00,360.0,11.06888,35.027879999999996,35.19832721269637,11.012704271416185,26.799518447871606,-0.008959999999999902,4.88796092810162e-05,0.0016863489544903132
1,16.832,89.402,2020-01-01 14:03:00+00:00,370.0,10.98964,35.028,35.198537482631735,10.93242812881027,26.814216212268093,-0.007924000000000042,2.1026993536565897e-05,0.00146977643964874
1,16.832,89.402,2020-01-01 14:03:00+00:00,380.0,10.91484,35.028,35.198627168641806,10.856591945771378,26.82795777921524,-0.007479999999999975,8.968601007097731e-06,0.0013741566947146565
1,16.832,89.402,2020-01-01 14:03:00+00:00,390.0,10.8406,35.02792,35.19863646475383,10.78132603660448,26.84147746812596,-0.007423999999999964,9.296112025936054e-07,0.0013519688910719196
1,16.832,89.402,2020-01-01 14:03:00+00:00,400.0,10.768600000000001,35.02752,35.19832420004472,10.708309605464109,26.854290640699446,-0.007199999999999917,-3.1226470910894476e-05,0.0012813172573487464
1,16.832,89.402,2020-01-01 14:03:00+00:00,410.0,10.6966,35.027120000000004,35.19800073783232,10.635303298042361,26.867039589526485,-0.007200000000000095,-3.2346221240686644e-05,0.0012748948827038475
1,16.832,89.402,2020-01-01 14:03:00+00:00,420.0,10.61984,35.026720000000005,35.19766981027586,10.557563278914918,26.880566404388446,-0.007676000000000016,-3.309275564546965e-05,0.0013526814861961611
1,16.832,89.402,2020-01-01 14:03:00+00:00,430.0,10.54104,35.026320000000005,35.197338881097245,10.477801089382107,26.894388155212482,-0.007879999999999932,-3.309291786166568e-05,0.0013821750824035916
1,16.832,89.402,2020-01-01 14:03:00+00:00,440.0,10.46448,35.025920000000006,35.19700795029647,10.400281922102028,26.907752222248973,-0.007656000000000063,-3.309308007786172e-05,0.0013364067036491178
1,16.832,89.402,2020-01-01 14:03:00+00:00,450.0,10.39688,35.02552,35.19667701787351,10.331700594012398,26.919495055972902,-0.006760000000000055,-3.309324229547883e-05,0.0011742833723928925
1,16.832,89.402,2020-01-01 14:03:00+00:00,460.0,10.329279999999999,35.02512,35.1963460838284,10.263128442713194,26.931188435178456,-0.006760000000000055,-3.309340451096432e-05,0.0011693379205553356
1,16.832,89.402,2020-01-01 14:03:00+00:00,470.0,10.25916,35.02472,35.19601514816112,10.1920551170174,26.943267092643964,-0.00701199999999993,-3.309356672787089e-05,0.0012078657465508513
1,16.832,89.402,2020-01-01 14:03:00+00:00,480.0,10.18796,35.02432,35.19568421087169,10.119915612732171,26.955478059984216,-0.007119999999999927,-3.309372894335638e-05,0.0012210967340251955
1,16.832,89.402,2020-01-01 14:03:00+00:00,490.0,10.1146,35.02376,35.195192488800366,10.045637607873454,26.967878596416767,-0.007336000000000098,-4.9172207132386346e-05,0.0012400536432551235
1,16.832,89.402,2020-01-01 14:03:00+00:00,500.0,10.0326,35.02256,35.19405763052138,9.962777272025608,26.981191378534504,-0.008199999999999897,-0.00011348582789878492,0.0013312782117736789
1,16.832,89.402,2020-01-01 14:03:00+00:00,510.0,9.9506,35.02136,35.19292588147244,9.879928331571577,26.994433867253065,-0.008200000000000074,-0.0001131749048937536,0.0013242488718560707
1,16.832,89.402,2020-01-01 14:03:00+00:00,520.0,9.87364,35.020160000000004,35.19179724133342,9.8021093777205,27.006757013275546,-0.007695999999999969,-0.00011286401390222522,0.0012323146022481524
1,16.832,89.402,2020-01-01 14:03:00+00:00,530.0,9.79884,35.01896,35.190668595901094,9.726451682520349,27.01865354180677,-0.007479999999999975,-0.00011286454323240491,0.001189652853122425
1,16.832,89.402,2020-01-01 14:03:00+00:00,540.0,9.72692,35.01776,35.18953994517546,9.653671530353298,27.030008328210442,-0.007192000000000043,-0.00011286507256329515,0.0011354786403671823
1,16.832,89.402,2020-01-01 14:03:00+00:00,550.0,9.66652,35.01656,35.18841128915651,9.592369363194626,27.039391736434254,-0.006039999999999957,-0.00011286560189489591,0.0009383408223811784
1,16.832,89.402,2020-01-01 14:03:00+00:00,560.0,9.606119999999999,35.01536,35.18728262784426,9.531075093754124,27.048734670492422,-0.006040000000000134,-0.0001128661312250756,0.0009342934058167885
1,16.832,89.402,2020-01-01 14:03:00+00:00,570.0,9.53956,35.014160000000004,35.1861539612387,9.463657410194234,27.059053123917465,-0.006655999999999907,-0.00011286666055596584,0.0010318453425043118
1,16.832,89.402,2020-01-01 14:03:00+00:00,580.0,9.47036,35.01296,35.18502528933984,9.393621141394815,27.069756089436623,-0.006920000000000037,-0.00011286718988614552,0.001070296551915817
1,16.832,89.402,2020-01-01 14:03:00+00:00,590.0,9.401959999999999,35.01168,35.1838162188247,9.324391831834731,27.080212881887746,-0.006840000000000046,-0.00012090705151379666,0.0010456792451122964
1,16.832,89.402,2020-01-01 14:03:00+00:00,600.0,9.33676,35.01008,35.18228556866578,9.258361919552588,27.08984677244166,-0.0065199999999999035,-0.00015306501589194,0.0009633890553914171
1,16.832,89.402,2020-01-01 14:03:00+00:00,610.0,9.271560000000001,35.008480000000006,35.180757853091485,9.19234057692452,27.099435651652357,-0.0065199999999999035,-0.0001527715574297872,0.0009588879210696178
1,16.832,89.402,2020-01-01 14:03:00+00:00,620.0,9.202720000000001,35.00688,35.17923454245246,9.122706223400339,27.109567800995364,-0.006883999999999979,-0.0001523310639022668,0.0010132149343007768
